[2018-09-11 14:54:26.285] 603,ax,ay,az,gx,gy,gz,mx,my,mz,q0,q1,q2,q3,yaw,pitch,roll
[2018-09-11 14:57:42.340] ,20.87,-9.89,886.96,-1.39,-1.22,0.02,-1275.83,120.19,-151.8,0.74,-0.01,0,-0.67,-97.56,-1.36,-0.78
[2018-09-11 14:57:42.880] ,17.94,4.27,886.72,-0.41,1.05,5.63,-1269.26,656.74,65.74,0.76,-0.01,-0.01,-0.66,-95.7,-1.93,-0.58
[2018-09-11 14:57:43.425] ,61.4,-0.85,872.68,-0.59,-3.92,0.45,-1275.83,161.07,-410.22,0.8,0,-0.01,-0.6,-87.53,-0.75,0.06
[2018-09-11 14:57:43.966] ,59.81,9.89,885.62,-0.68,-2.11,8.28,-1272.18,910.05,-237.21,0.84,-0.01,-0.02,-0.54,-79.16,-2.82,0.03
[2018-09-11 14:57:44.510] ,17.58,10.62,891.97,-1.22,-0.94,4.58,-1262.69,556,-124.79,0.85,-0.01,-0.03,-0.53,-77.86,-3.5,0.19
[2018-09-11 14:57:45.056] ,92.65,6.59,891.11,-1.79,-3.52,0.79,-1276.56,193.92,-372.26,0.83,-0.01,-0.02,-0.56,-82.36,-2.48,-0.16
[2018-09-11 14:57:45.601] ,40.89,-13.67,880.62,-1.73,3.07,0.51,-1279.48,166.91,258.46,0.78,-0.02,-0.01,-0.63,-91.84,-2.76,-0.78
[2018-09-11 14:57:46.142] ,46.39,-5.74,889.04,-1.01,-1.99,0.57,-1280.21,172.75,-225.53,0.76,-0.02,-0.01,-0.65,-95.07,-1.82,-0.98
[2018-09-11 14:57:46.682] ,13.43,-19.41,886.47,-1.08,-1.87,0.46,-1272.18,161.8,-213.85,0.75,-0.02,-0.01,-0.66,-95.8,-1.64,-0.98
[2018-09-11 14:57:47.224] ,-6.47,-4.52,868.04,-9.95,-4.56,0.01,-1286.78,118.73,-471.54,0.77,-0.01,0.01,-0.64,-92.71,0.05,-0.87
[2018-09-11 14:57:47.767] ,-8.67,-8.06,885.13,0.26,-4.35,6.25,-1271.45,715.87,-451.1,0.81,-0.02,-0.02,-0.59,-85.6,-3.21,-0.15
[2018-09-11 14:57:48.312] ,70.8,-29.05,895.75,4.19,-5.78,9.62,-1275.83,1038.53,-588.34,0.88,-0.04,-0.05,-0.47,-70.37,-7.06,-1.59
[2018-09-11 14:57:48.861] ,242.68,4.03,910.64,-6.26,-4.08,7.18,-1277.29,804.93,-425.55,0.84,-0.07,-0.06,-0.54,-78.85,-9.76,-3.53
[2018-09-11 14:57:49.405] ,109.86,-25.76,870.24,10.12,-6.08,1.88,-1261.96,297.58,-616.81,0.85,-0.04,-0.06,-0.53,-77.64,-8.47,0.23
[2018-09-11 14:57:49.954] ,226.68,6.59,887.08,-2.88,-0.89,4.75,-1285.32,572.06,-120.41,0.84,-0.05,-0.07,-0.54,-79.63,-10.16,-0.1
[2018-09-11 14:57:50.500] ,182.62,11.72,858.89,-3,-0.28,-5.01,-1269.26,-361.61,-62.01,0.81,-0.06,-0.06,-0.58,-85.19,-9.37,-1.05
[2018-09-11 14:57:51.050] ,157.71,44.19,808.11,7.76,1.86,-4.06,-1272.91,-270.36,143.12,0.69,-0.05,-0.07,-0.72,-106.4,-9.24,2.12
